label,pattern,replace,presence
androecium_structural_phyllotaxy_term,spiral,spiral
androecium_structural_phyllotaxy_term,spiraled,spiral
androecium_structural_phyllotaxy_term,spirals,spiral
androecium_structural_phyllotaxy_term,whorled,whorled
androecium_structural_phyllotaxy_term,whorls,whorled
anther_attachment_term,basifixed,
anther_attachment_term,dorsifixed,
anther_attachment_term,subbasifixed,
anther_attachment_term,versatile,
anther_dehiscence_term,apical pore,
anther_dehiscence_term,flap-valvate,
anther_dehiscence_term,h-valvate,
anther_dehiscence_term,longitudinal slit,
anther_dehiscence_term,scattered pore,
anther_orientation_term,extrorse,
anther_orientation_term,introrse,
anther_orientation_term,latrorse,
anther_term,anter,anther
anther_term,anters,anther
connate_stamen_grouping_term,diadelphous,
connate_stamen_grouping_term,monadelphous,
connate_stamen_grouping_term,polyadelphous,
connective_extension,connective extension,
connective_extension_term,connective extension
exserted_stamens_presence,exerted,,present
exserted_stamens_presence,inserted,,absent
exserted_stamens_term,exserted stamens,
fertile_stamens_term,fertile stamens,fertile stamens
fertile_stamens_term,fertile stamen,fertile stamens
filament_length_term,absent,absent
filament_length_term,elongate,present
filament_length_term,present,present
filament_length_term,sessile,absent
filament_term,filament,filament
filament_term,filaments,filament
filament_width_term,laminar,wide
filament_width_term,narrow,narrow
filament_width_term,typical,narrow
filament_width_term,wide,wide
fusion_of_anthers_term,apostemonous,distinct
fusion_of_anthers_term,connate,connate
fusion_of_anthers_term,distinct,distinct
fusion_of_anthers_term,free,distinct
fusion_of_anthers_term,fused,connate
fusion_of_anthers_term,syngenesious,connate
fusion_of_anthers_term,unfused,distinct
fusion_of_filaments_term,apostemonous,distinct
fusion_of_filaments_term,connate,connate
fusion_of_filaments_term,diadelphous,connate
fusion_of_filaments_term,distinct,distinct
fusion_of_filaments_term,fused,connate
fusion_of_filaments_term,monadelphous,connate
fusion_of_filaments_term,unfused,distinct
fusion_of_filaments_to_inner_perianth_term,adnate to perianth,fused
fusion_of_filaments_to_inner_perianth_term,adnation,fused
fusion_of_filaments_to_inner_perianth_term,apostemonous,free
fusion_of_filaments_to_inner_perianth_term,epipetalous,fused
fusion_of_filaments_to_inner_perianth_term,free,free
fusion_of_filaments_to_inner_perianth_term,fused at base,
fusion_of_filaments_to_inner_perianth_term,fused,fused
gametophyte_development_at_anthesis_term,2 celled,2-celled
gametophyte_development_at_anthesis_term,2-celled,2-celled
gametophyte_development_at_anthesis_term,3 celled,3-celled
gametophyte_development_at_anthesis_term,3-celled,3-celled
gametophyte_development_at_anthesis_term,trinucleate,3-celled
number_of_androecium_structural_whorls_count_term,biseriate,2
number_of_androecium_structural_whorls_count_term,pentaseriate,5
number_of_androecium_structural_whorls_count_term,tetradynamous,2
number_of_androecium_structural_whorls_count_term,tetraseriate,4
number_of_androecium_structural_whorls_count_term,triseriate,3
number_of_androecium_structural_whorls_count_term,uniseriate,1
number_of_androecium_structural_whorls_term,Number of androecium structural whorls,
number_of_fertile_stamens_term,number of fertile stamen,number of fertile stamen
number_of_fertile_stamens_term,number of fertile stamens,number of fertile stamen
petaloid_staminodes_term,petaloid staminodes,petaloid staminodes
relative_lengths_of_stamens_term,didymous,equal
relative_lengths_of_stamens_term,didynamous,differentiated
relative_lengths_of_stamens_term,differentiated,differentiated
relative_lengths_of_stamens_term,equal,equal
relative_lengths_of_stamens_term,tetradynamous,differentiated
relative_lengths_of_stamens_term,two lengths,differentiated
stamen_position_term,alternipetalous,antisepalous
stamen_position_term,alternisepalous,antisepalous
stamen_position_term,antipetalous,antisepalous
stamen_position_term,antisepalous,antisepalous
stamen_position_term,antitepalous,antisepalous
stamen_position_term,non-perianth,
stamen_term,stamen,stamen
stamen_term,stamens,stamen
staminode_presence,antherode,,present
staminode_term,staminode,staminode
staminode_term,staminodes,staminode
thecae_number_term,dithecal,two
thecae_number_term,monothecal,one
thecae_number_term,one,one
thecae_number_term,two,two
thecae_term,thecae,
